DistrictName,DistrictNo,Npop,longitude,latitude,HDI,green_area,neigh_name_compare,,,
Saúde,1,2749,-43.16999561,-22.78570072,0.792,0.014690971,SAUDE,,,
Gamboa,2,13108,-43.33000617,-22.88511874,0.833,0.021500045,GAMBOA,,,
Santo Cristo,3,12330,-43.35239254,-22.89988222,0.836,0.008760814,SANTO CRISTO,,,
Caju,4,20477,-43.19295326,-22.89747981,0.817,0.017527831,CAJU,,,
Centro,5,41142,-43.3116804,-22.91114476,0.904,0.002739588,CENTRO,,,
Catumbi,6,12556,-43.23871976,-22.93300556,0.904,0.094208069,CATUMBI,,,
Rio Comprido,7,43764,-43.20077694,-22.94159888,0.778,0.356610706,RIO COMPRIDO,,,
Cidade Nova,8,5466,-43.22430341,-22.9645244,0.778,0,CIDADE NOVA,,,
Estácio,9,17189,-43.24867095,-22.98890258,0.81,0.021986291,ESTACIO,,,
São Cristóvão,10,26510,-43.18112344,-22.79240271,0.788,0.021403344,SAO CRISTOVAO,,,
Mangueira,11,17835,-43.29274083,-22.81894591,0.833,0.186612517,MANGUEIRA,,,
Benfica,12,25081,-43.18003398,-22.81696622,0.807,0,BENFICA,,,
Vasco da Gama,158,15482,-43.38329836,-22.87842733,0.861,0,VASCO DA GAMA,,,
Santa Teresa,13,40926,-43.43375377,-22.88101539,0.8,0.524727419,SANTA TERESA,,,
Flamengo,14,50043,-43.2538448,-22.86594425,0.806,0.034391159,FLAMENGO,,,
Glória,15,9661,-43.26182257,-22.87390776,0.72,0.032255569,GLORIA,,,
Laranjeiras,16,45554,-43.29580602,-22.8790898,0.75,0.336106592,LARANJEIRAS,,,
Catete,17,24057,-43.27212677,-22.87978841,0.713,0.113333516,CATETE,,,
Cosme Velho,18,7178,-43.31241444,-22.89372074,0.79,0.362178516,COSME VELHO,,,
Botafogo,19,82890,-43.36708647,-22.8879402,0.769,0.223944211,BOTAFOGO,,,
Humaitá,20,13285,-43.26385464,-22.88310076,0.911,0.558477509,HUMAITA,,,
Urca,21,7061,-43.32472742,-22.89511109,0.768,0.44643365,URCA,,,
Leme,22,14799,-43.39403302,-22.89586601,0.751,0.375359834,LEME,,,
Copacabana,23,146392,-43.34736892,-22.88512952,0.828,0.113376794,COPACABANA,,,
Ipanema,24,42743,-43.29945445,-22.88598234,0.825,0.001189924,IPANEMA,,,
Leblon,25,46044,-43.53009323,-22.89443923,0.898,0.164732604,LEBLON,,,
Lagoa,26,21198,-43.61295656,-22.90817474,0.9,0.079090057,LAGOA,,,
Jardim Botânico,27,18009,-43.25769624,-22.88752064,0.876,0.374949706,JARDIM BOTANICO,,,
Gávea,28,16003,-43.27420376,-22.88986583,0.831,0.527715316,GAVEA,,,
Vidigal,29,12797,-43.24041321,-22.89216792,0.845,0.306282174,VIDIGAL,,,
São Conrado,30,10980,-43.29615268,-22.90231681,0.904,0.558085895,SAO CONRADO,,,
Rocinha,153,69356,-43.35085265,-22.87155976,0.858,0.169149439,ROCINHA,,,
Praça da Bandeira,31,8662,-43.22254398,-22.90042089,0.959,0,PRACA DA BANDEIRA,,,
Tijuca,32,163805,-43.22678989,-22.8914123,0.822,0.347620406,TIJUCA,,,
Alto da Boa Vista,33,9343,-43.59400425,-22.91167671,0.959,0.903712959,ALTO DA BOA VISTA,,,
Maracanã,34,25256,-43.28508138,-22.89486677,0.746,0,MARACANA,,,
Vila Isabel,35,86018,-43.25727673,-22.89285524,0.746,0.138251762,VILA ISABEL,,,
Andaraí,36,39365,-43.30418358,-22.89702774,0.746,0.292364405,ANDARAI,,,
Grajaú,37,38671,-43.24898332,-22.89943206,0.894,0.646253068,GRAJAU,,,
Manguinhos,38,36160,-43.28203653,-22.90265199,0.894,0.031673246,MANGUINHOS,,,
Bonsucesso,39,18711,-43.20370993,-22.90093037,0.856,0.007978893,BONSUCESSO,,,
Ramos,40,40792,-43.17843207,-22.90633125,0.856,0.001617045,RAMOS,,,
Olaria,41,57514,-43.26032729,-22.90251609,0.856,0.077368293,OLARIA,,,
Penha,42,78678,-43.25521211,-22.90299423,0.944,0.069820675,PENHA,,,
Penha Circular,43,47816,-43.18433391,-22.89728441,0.802,0.091569856,PENHA CIRCULAR,,,
Brás de Pina,44,59222,-43.24330391,-22.90418485,0.803,0.002547816,BRAS DE PINA,,,
Cordovil,45,45202,-43.26852449,-22.90910997,0.878,0.041288873,CORDOVIL,,,
Parada de Lucas,46,23923,-43.23648006,-22.90406461,0.804,0.191353032,PARADA DE LUCAS,,,
Vigário Geral,47,41820,-43.35825897,-22.91347162,0.794,0.010810641,VIGARIO GERAL,,,
Jardim América,48,25226,-43.38457647,-22.92176971,0.768,0.017313619,JARDIM AMERICA,,,
Ribeira,90,3528,-43.4808703,-23.01510853,0.944,0.069514807,RIBEIRA,,,
Zumbi,91,2016,-43.24000519,-22.99475514,0.901,0.146913543,ZUMBI,,,
Cacuia,92,11013,-43.28726344,-23.00797447,0.909,0.471834074,CACUIA,,,
Pitangueiras,93,11756,-43.55032245,-23.03860827,0.938,0.073103734,PITANGUEIRAS,,,
Praia da Bandeira,94,5948,-43.53143211,-23.04638308,0.726,0.139565305,PRAIA DA BANDEIRA,,,
Cocotá,95,4877,-43.22177396,-22.87902168,0.753,0.200356958,COCOTA,,,
Bancários,96,12512,-43.3864321,-22.85134927,0.861,0.013050129,BANCARIOS,,,
Freguesia (Ilha do Governador),97,19437,-43.47470493,-22.83302592,0.857,0.464539627,FREGUESIA,,,
Jardim Guanabara,98,32213,-43.18224282,-22.91261087,0.853,0.082826999,JARDIM GUANABARA,,,
Jardim Carioca,99,24848,-43.23637723,-22.80777485,0.804,0.003519217,JARDIM CARIOCA,,,
Tauá,100,29567,-43.18668846,-22.79771276,0.826,0.020028244,TAUA,,,
Moneró,101,6476,-43.20725882,-22.79978912,0.835,0.02443922,MONERO,,,
Portuguesa,102,23856,-43.19764075,-22.79644176,0.791,0.044727636,PORTUGUESA,,,
Galeão,103,22971,-43.55027201,-22.88247045,0.745,0.395794697,GALEAO,,,
Cidade Universitária,104,1556,-43.31025856,-22.8090347,0.763,0.343948388,CIDADE UNIVERSITARIA,,,
Complexo do Alemão,155,69143,-43.41368815,-22.87255908,0.858,0.11885971,COMPLEXO DO ALEMAO,,,
Maré,156,129770,-43.48987051,-22.89680528,0.858,0.026309142,MARE,,,
Higienópolis,49,15734,-43.28484357,-22.91430373,0.78,0,HIGIENOPOLIS,,,
Jacaré,50,9276,-43.33890402,-22.93210797,0.81,0.004616096,JACARE,,,
Maria da Graça,51,7972,-43.20157482,-22.91012656,0.802,0,MARIA DA GRACA,,,
Del Castilho,52,15610,-43.21343275,-22.91088043,0.747,0,DEL CASTILHO,,,
Inhaúma,53,45698,-43.2476154,-22.91544652,0.759,0.039304845,INHAUMA,,,
Engenho da Rainha,54,26659,-43.22888521,-22.91323577,0.751,0.115705046,ENGENHO DA RAINHA,,,
Tomás Coelho,55,22676,-43.1733184,-22.91911462,0.742,0.265459495,TOMAS COELHO,,,
São Francisco Xavier,56,8343,-43.20888257,-22.92869743,0.959,0.150669644,SAO FRANCISCO XAVIER,,,
Rocha,57,8766,-43.19959446,-22.93261541,0.761,0.242696081,ROCHA,,,
Riachuelo,58,12653,-43.2043909,-22.91682673,0.744,0.209372074,RIACHUELO,,,
Sampaio,59,10895,-43.19729014,-22.9195493,0.744,0.173435929,SAMPAIO,,,
Engenho Novo,60,42172,-43.27008944,-22.92932217,0.744,0.171832365,ENGENHO NOVO,,,
Lins de Vasconcelos,61,37487,-43.35377679,-22.92961743,0.732,0.371070183,LINS DE VASCONCELOS,,,
Méier,62,49828,-43.25352515,-22.92898037,0.731,0.006089396,MEIER,,,
Todos ds Santos,63,24646,-43.18023038,-22.92665888,0.7,0,TODOS OS SANTOS,,,
Cachambi,64,42415,-43.1742239,-22.93472357,0.722,0.00216393,CACHAMBI,,,
Engenho de Dentro,65,45540,-43.1885346,-22.93536054,0.72,0.20471702,ENGENHO DE DENTRO,,,
Água Santa,66,8756,-43.58936654,-22.99216534,0.833,0.763052118,AGUA SANTA,,,
Encantado,67,15021,-43.49185249,-22.97179077,0.94,0.009099419,ENCANTADO,,,
Piedade,68,43378,-43.26065679,-22.96064135,0.794,0.219933154,PIEDADE,,,
Abolição,69,11356,-43.38725082,-22.95229864,0.894,0,ABOLICAO,,,
Pilares,70,27250,-43.18614368,-22.95225711,0.957,0.041914171,PILARES,,,
Jacarezinho,154,37839,-43.70641029,-22.91648235,0.859,0.002850988,JACAREZINHO,,,
Vila Kosmos,71,18274,-43.16195228,-22.95050522,0.901,0.319105688,VILA KOSMOS,,,
Vicente de Carvalho,72,24964,-43.3629417,-22.9481107,0.878,0.163098708,VICENTE DE CARVALHO,,,
Vila da Penha,73,25465,-43.69357355,-22.96809858,0.792,0,VILA DA PENHA,,,
Vista Alegre,74,8622,-43.33826665,-22.95705674,0.952,0,VISTA ALEGRE,,,
Irajá,75,96382,-43.38084061,-22.94424851,0.959,0.039182165,IRAJA,,,
Colégio,76,29245,-43.43041983,-22.97152771,0.952,0.006268689,COLEGIO,,,
Campinho,77,10156,-43.20106287,-22.95496035,0.955,0.122995583,CAMPINHO,,,
Quintino Bocaiúva,78,31185,-43.35104473,-22.95872498,0.956,0.418740227,QUINTINO BOCAIUVA,,,
Cavalcanti,79,16141,-43.45859191,-22.98249134,0.962,0.31790621,CAVALCANTI,,,
Engenheiro Leal,80,6113,-43.18745668,-22.97056558,0.967,0.173740892,ENGENHEIRO LEAL,,,
Cascadura,81,34456,-43.16703099,-22.96205198,0.959,0.185474334,CASCADURA,,,
